iteration,kind,param,value,appraisal,passed,first_failure,decision
0,,,,-0.08801176080561701,False,budget: CAGR 7.21% vs floor 8.73%,KEEP
1,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08259911898546124,True,,KEEP
2,overlay,overlay,"{'lam': 100.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.09957503877767493,False,budget: CAGR 7.00% vs floor 8.73%,REVERT
3,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08259911898546224,True,,REVERT
4,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.0967556241331835,False,budget: CAGR 7.04% vs floor 8.73%,REVERT
5,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08158626214843556,True,,KEEP
6,overlay,overlay,"{'lam': 100.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.09858092421219455,False,budget: CAGR 7.12% vs floor 8.73%,REVERT
7,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.10391055387711579,True,,REVERT
8,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08158626214843567,True,,REVERT
9,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08259911898546124,True,,REVERT
10,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.07353314909247888,False,budget: CAGR 7.01% vs floor 8.73%,REVERT
11,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.1, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08958509745659204,True,,REVERT
12,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.2, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.09755097688097958,True,,REVERT
13,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.3, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.10277101106163478,True,,REVERT
14,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.5, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08158626214843556,True,,REVERT
15,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.3, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08158626214843556,True,,REVERT
